epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2505.85,0.24322,0.82511,1.22981,0.62553,0.62726,0.66455,0.38185,0.49152,0.79302,1.32863,0.00928,0.00928,0.00928
92,2530.71,0.27542,0.7978,1.22828,0.58806,0.60315,0.59858,0.34481,0.49932,0.90609,1.35162,0.009272,0.009272,0.009272
93,2555.73,0.26139,0.78929,1.2105,0.67867,0.61482,0.67095,0.3906,0.49324,0.81006,1.33635,0.009264,0.009264,0.009264
94,2580.81,0.25438,0.76566,1.20963,0.65745,0.60846,0.66061,0.39885,0.49253,0.81947,1.32341,0.009256,0.009256,0.009256
95,2605.68,0.25953,0.75127,1.20567,0.53999,0.5879,0.57902,0.31612,0.54247,1.02708,1.41099,0.009248,0.009248,0.009248
96,2630.53,0.25306,0.79781,1.21269,0.62609,0.55229,0.59075,0.33897,0.50899,0.99097,1.37198,0.00924,0.00924,0.00924
97,2655.5,0.25354,0.74953,1.19064,0.64104,0.57141,0.6289,0.37425,0.49728,0.92702,1.33921,0.009232,0.009232,0.009232
98,2680.46,0.25029,0.73858,1.20082,0.60402,0.63462,0.64402,0.38037,0.49275,0.87395,1.33516,0.009224,0.009224,0.009224
99,2705.33,0.25786,0.72478,1.20637,0.63189,0.61794,0.65062,0.38117,0.50491,0.92965,1.35046,0.009216,0.009216,0.009216
100,2730.49,0.24916,0.78237,1.21389,0.66712,0.56578,0.6497,0.38823,0.49412,0.95076,1.31871,0.009208,0.009208,0.009208
101,2757.42,0.25897,0.76881,1.21368,0.59959,0.55456,0.57577,0.33074,0.52902,1.01794,1.39953,0.0092,0.0092,0.0092
102,2784.02,0.24946,0.76758,1.20258,0.73092,0.56342,0.66686,0.39525,0.49038,0.83123,1.32236,0.009192,0.009192,0.009192
103,2810.75,0.24576,0.73104,1.20885,0.73245,0.5652,0.66327,0.39959,0.49872,0.80617,1.31786,0.009184,0.009184,0.009184
104,2837.47,0.25374,0.7434,1.18258,0.73064,0.58582,0.65385,0.39236,0.49279,0.91251,1.32828,0.009176,0.009176,0.009176
105,2864.28,0.26392,0.77209,1.21965,0.61634,0.60768,0.64458,0.37885,0.50511,0.89465,1.3664,0.009168,0.009168,0.009168
106,2891.06,0.26028,0.72956,1.2043,0.67786,0.54378,0.6323,0.37123,0.51,0.98303,1.36496,0.00916,0.00916,0.00916
107,2924.01,0.25767,0.70282,1.21749,0.6823,0.53225,0.62862,0.36188,0.51618,0.85515,1.38797,0.009152,0.009152,0.009152
108,2950.75,0.26405,0.71356,1.21138,0.56231,0.54338,0.56725,0.34195,0.52215,1.16524,1.3939,0.009144,0.009144,0.009144
109,2976.35,0.26195,0.73757,1.19941,0.68721,0.58104,0.65791,0.39306,0.49268,0.8902,1.33662,0.009136,0.009136,0.009136
110,3001.74,0.24445,0.7105,1.194,0.62474,0.62,0.6548,0.3822,0.49888,0.91325,1.33554,0.009128,0.009128,0.009128
111,3028.56,0.25143,0.70067,1.20608,0.61528,0.63242,0.67064,0.39994,0.49227,0.86077,1.32503,0.00912,0.00912,0.00912
112,3055.41,0.24534,0.68689,1.19452,0.6904,0.55713,0.66091,0.38697,0.4947,0.88184,1.34336,0.009112,0.009112,0.009112
113,3082.13,0.2424,0.67488,1.18782,0.63513,0.64625,0.68832,0.40233,0.48346,0.88708,1.33191,0.009104,0.009104,0.009104
114,3108.66,0.25267,0.69368,1.18151,0.7173,0.64025,0.70296,0.41727,0.48991,0.75346,1.30369,0.009096,0.009096,0.009096
115,3133.51,0.24832,0.69914,1.20313,0.70901,0.61222,0.69308,0.4109,0.49489,0.79412,1.32943,0.009088,0.009088,0.009088
116,3158.47,0.24218,0.68562,1.16058,0.73658,0.60847,0.69669,0.42339,0.48528,0.79707,1.31535,0.00908,0.00908,0.00908
117,3183.45,0.24681,0.66573,1.17496,0.65403,0.63631,0.68384,0.40946,0.48759,0.7509,1.31714,0.009072,0.009072,0.009072
118,3208.3,0.24344,0.68624,1.18409,0.61492,0.59195,0.63872,0.37365,0.49909,1.01298,1.36246,0.009064,0.009064,0.009064
119,3233.19,0.24479,0.67104,1.17714,0.72818,0.5572,0.67314,0.3962,0.49769,0.84905,1.34721,0.009056,0.009056,0.009056
120,3258.15,0.24891,0.65518,1.17898,0.62189,0.65464,0.64889,0.38163,0.49365,0.83899,1.34093,0.009048,0.009048,0.009048
121,3282.99,0.22859,0.63389,1.16261,0.73547,0.5854,0.67239,0.38982,0.48291,0.78831,1.31636,0.00904,0.00904,0.00904
122,3308.36,0.23377,0.64329,1.17259,0.72026,0.57434,0.65157,0.38118,0.50536,0.89188,1.34091,0.009032,0.009032,0.009032
123,3335.27,0.24325,0.66345,1.19021,0.73278,0.64563,0.72542,0.44006,0.48999,0.72868,1.28923,0.009024,0.009024,0.009024
124,3361.53,0.24486,0.68556,1.21264,0.66107,0.64941,0.67682,0.39787,0.48628,0.83024,1.33997,0.009016,0.009016,0.009016
125,3386.38,0.25314,0.65251,1.185,0.62583,0.56972,0.63983,0.37424,0.51206,0.96274,1.35302,0.009008,0.009008,0.009008
126,3411.29,0.24195,0.67031,1.17182,0.74027,0.65938,0.72778,0.44185,0.46969,0.7064,1.30754,0.009,0.009,0.009
127,3437.73,0.23674,0.64637,1.17215,0.66395,0.62471,0.67914,0.4004,0.49238,0.85888,1.33583,0.008992,0.008992,0.008992
128,3464.48,0.23671,0.67366,1.20217,0.67752,0.64135,0.6953,0.40919,0.4954,0.77962,1.32355,0.008984,0.008984,0.008984
129,3489.5,0.24406,0.66449,1.18722,0.6933,0.64486,0.69477,0.41623,0.4974,0.78196,1.32917,0.008976,0.008976,0.008976
130,3514.4,0.23573,0.6375,1.17974,0.67037,0.64495,0.68101,0.40835,0.50138,0.85591,1.3682,0.008968,0.008968,0.008968
131,3540.96,0.2422,0.62707,1.18918,0.63771,0.66376,0.69291,0.4002,0.5009,0.85081,1.35594,0.00896,0.00896,0.00896
132,3567.72,0.23778,0.64168,1.1671,0.66902,0.65849,0.69277,0.39861,0.49695,0.7598,1.33766,0.008952,0.008952,0.008952
133,3594.51,0.23212,0.61514,1.16721,0.75647,0.59461,0.7061,0.41131,0.49847,0.80063,1.35011,0.008944,0.008944,0.008944
134,3619.53,0.24116,0.64076,1.17696,0.68389,0.68233,0.71762,0.42761,0.48686,0.74899,1.30845,0.008936,0.008936,0.008936
135,3644.55,0.24674,0.61293,1.16236,0.70737,0.60413,0.68416,0.40944,0.49535,0.83497,1.32611,0.008928,0.008928,0.008928
136,3669.4,0.2359,0.62259,1.1619,0.6572,0.53744,0.59214,0.3356,0.52215,1.03613,1.39304,0.00892,0.00892,0.00892
137,3694.33,0.25945,0.62411,1.18032,0.69521,0.5962,0.66593,0.38907,0.49662,0.87434,1.35461,0.008912,0.008912,0.008912
138,3719.19,0.23528,0.6611,1.15781,0.64948,0.64706,0.66795,0.39004,0.5056,0.89965,1.37951,0.008904,0.008904,0.008904
139,3744.04,0.24337,0.63191,1.19419,0.6604,0.65085,0.68056,0.40322,0.49996,0.79422,1.33164,0.008896,0.008896,0.008896
140,3769.01,0.2391,0.6584,1.15176,0.66321,0.56342,0.63504,0.37476,0.51582,0.9024,1.38202,0.008888,0.008888,0.008888
141,3793.88,0.23638,0.62023,1.16213,0.73999,0.59467,0.6885,0.39258,0.49306,0.81119,1.35609,0.00888,0.00888,0.00888
142,3820.56,0.22495,0.62127,1.1841,0.62519,0.65314,0.67025,0.39406,0.49237,0.85561,1.35196,0.008872,0.008872,0.008872
143,3847.27,0.22823,0.59601,1.1459,0.70133,0.66892,0.72242,0.42668,0.48047,0.71807,1.31906,0.008864,0.008864,0.008864
144,3879.34,0.23718,0.60817,1.17021,0.68164,0.64598,0.68956,0.40832,0.49514,0.74461,1.33104,0.008856,0.008856,0.008856
145,3905.03,0.23844,0.60417,1.15787,0.68383,0.62034,0.68243,0.40792,0.49547,0.81546,1.35046,0.008848,0.008848,0.008848
146,3929.78,0.23513,0.60216,1.14781,0.71153,0.61791,0.68995,0.40738,0.4988,0.79573,1.34881,0.00884,0.00884,0.00884
147,3954.64,0.23553,0.58626,1.16572,0.66893,0.60889,0.6753,0.38646,0.51086,0.80239,1.35038,0.008832,0.008832,0.008832
148,3979.45,0.22159,0.59147,1.15262,0.68386,0.66204,0.70714,0.42831,0.48308,0.74358,1.30902,0.008824,0.008824,0.008824
149,4004.27,0.22782,0.5903,1.16338,0.66952,0.56176,0.62336,0.34136,0.53416,1.06239,1.43372,0.008816,0.008816,0.008816
150,4029.09,0.22299,0.61536,1.15501,0.64562,0.54121,0.61642,0.35842,0.5099,1.12869,1.37443,0.008808,0.008808,0.008808
151,4055.65,0.21714,0.55795,1.16136,0.74268,0.65729,0.73061,0.43193,0.48543,0.71872,1.33371,0.0088,0.0088,0.0088
152,4082.4,0.24017,0.57848,1.14619,0.64092,0.67672,0.69013,0.40802,0.49897,0.77751,1.36652,0.008792,0.008792,0.008792
153,4109.22,0.23859,0.59898,1.15905,0.67484,0.66308,0.68678,0.41543,0.48783,0.8235,1.33661,0.008784,0.008784,0.008784
