epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,2092.53,0.26497,0.9014,1.24352,0.6789,0.5684,0.63987,0.38038,0.50576,0.84824,1.32196,0.009032,0.009032,0.009032
123,2108.73,0.27558,0.9054,1.25394,0.64129,0.53054,0.60583,0.36165,0.50097,0.85486,1.30971,0.009024,0.009024,0.009024
124,2124.92,0.27616,0.93353,1.27953,0.59903,0.58966,0.60809,0.35543,0.50012,0.86389,1.31934,0.009016,0.009016,0.009016
125,2141.37,0.28824,0.91078,1.2515,0.60364,0.57097,0.59115,0.33764,0.52165,0.92922,1.38275,0.009008,0.009008,0.009008
126,2157.65,0.27918,0.93147,1.249,0.64591,0.58508,0.62916,0.38122,0.50549,0.85766,1.31972,0.009,0.009,0.009
127,2174.18,0.27552,0.9153,1.2541,0.59729,0.59063,0.60162,0.35266,0.52606,0.91654,1.38085,0.008992,0.008992,0.008992
128,2191.75,0.27438,0.92033,1.28343,0.6435,0.57379,0.61663,0.36844,0.49174,0.87138,1.31307,0.008984,0.008984,0.008984
129,2208.02,0.27912,0.90609,1.27445,0.58216,0.56785,0.60359,0.35245,0.50662,0.94396,1.35587,0.008976,0.008976,0.008976
130,2224.42,0.26971,0.88509,1.2516,0.58119,0.57184,0.59502,0.34966,0.51522,0.90952,1.37672,0.008968,0.008968,0.008968
131,2240.66,0.27955,0.91491,1.27284,0.70133,0.56858,0.64383,0.38464,0.49508,0.84366,1.31038,0.00896,0.00896,0.00896
132,2256.85,0.274,0.91001,1.24057,0.64877,0.55346,0.61609,0.36198,0.51535,0.8533,1.36475,0.008952,0.008952,0.008952
133,2273.21,0.27401,0.90665,1.25643,0.59425,0.59172,0.61588,0.36634,0.49101,0.8677,1.31447,0.008944,0.008944,0.008944
134,2289.65,0.27685,0.8805,1.2452,0.64939,0.62168,0.64937,0.38664,0.50623,0.8641,1.34448,0.008936,0.008936,0.008936
135,2306.07,0.28419,0.88408,1.23606,0.69965,0.53224,0.61057,0.36283,0.50406,0.9489,1.33972,0.008928,0.008928,0.008928
136,2322.38,0.27319,0.90631,1.24192,0.6268,0.59814,0.62982,0.36196,0.49795,0.9537,1.33868,0.00892,0.00892,0.00892
137,2338.67,0.29544,0.86941,1.24891,0.61055,0.60023,0.6136,0.36359,0.49778,0.82962,1.33911,0.008912,0.008912,0.008912
138,2355.55,0.27354,0.8896,1.23572,0.62703,0.57449,0.60779,0.35578,0.51147,0.93753,1.35245,0.008904,0.008904,0.008904
139,2371.79,0.28261,0.89365,1.27928,0.63025,0.64355,0.63472,0.36511,0.49349,0.88595,1.32426,0.008896,0.008896,0.008896
140,2388.04,0.27873,0.91708,1.23323,0.60813,0.59597,0.62862,0.37336,0.50884,0.89936,1.34554,0.008888,0.008888,0.008888
141,2404.35,0.2722,0.90965,1.23925,0.63713,0.59749,0.64089,0.37018,0.5055,0.82017,1.364,0.00888,0.00888,0.00888
142,2420.53,0.25889,0.89028,1.25717,0.60588,0.53726,0.60043,0.34916,0.51155,0.94789,1.36671,0.008872,0.008872,0.008872
143,2436.82,0.26481,0.8705,1.2173,0.72841,0.57769,0.6699,0.38789,0.49775,0.82424,1.31152,0.008864,0.008864,0.008864
144,2453.24,0.27913,0.85215,1.25321,0.50593,0.60102,0.58021,0.33405,0.51918,0.99185,1.39404,0.008856,0.008856,0.008856
145,2471.78,0.2798,0.88191,1.24339,0.63346,0.57086,0.62071,0.36023,0.50635,0.86722,1.35544,0.008848,0.008848,0.008848
146,2489.29,0.27875,0.85249,1.23358,0.63322,0.57791,0.62172,0.37067,0.48859,0.86392,1.32928,0.00884,0.00884,0.00884
147,2505.63,0.2681,0.85788,1.23583,0.62493,0.61607,0.64996,0.37852,0.50001,0.86182,1.34625,0.008832,0.008832,0.008832
148,2521.81,0.25034,0.84839,1.2204,0.66751,0.60086,0.65546,0.40009,0.48136,0.81579,1.3076,0.008824,0.008824,0.008824
149,2539.13,0.26429,0.86481,1.24679,0.57465,0.62171,0.61522,0.35884,0.50151,0.99004,1.34896,0.008816,0.008816,0.008816
150,2555.39,0.25865,0.86368,1.22756,0.65718,0.59657,0.65773,0.39076,0.48862,0.85372,1.32225,0.008808,0.008808,0.008808
151,2572.61,0.24645,0.82724,1.23079,0.65217,0.57746,0.63332,0.37394,0.49377,0.83992,1.33127,0.0088,0.0088,0.0088
152,2588.82,0.28035,0.831,1.22363,0.59996,0.65227,0.65472,0.39343,0.49075,0.82229,1.32687,0.008792,0.008792,0.008792
153,2605.78,0.27906,0.84661,1.23052,0.60544,0.63907,0.66556,0.40444,0.48519,0.82422,1.31833,0.008784,0.008784,0.008784
154,2622.03,0.26612,0.80598,1.24011,0.66846,0.58722,0.6541,0.39083,0.48579,0.83744,1.30796,0.008776,0.008776,0.008776
155,2638.25,0.26322,0.8078,1.2204,0.6589,0.63486,0.65713,0.399,0.49553,0.82663,1.33117,0.008768,0.008768,0.008768
156,2655.46,0.2877,0.91003,1.23593,0.66415,0.64611,0.66259,0.40197,0.48094,0.83907,1.31728,0.00876,0.00876,0.00876
157,2672.64,0.28087,0.88174,1.24456,0.69822,0.59597,0.647,0.38082,0.49732,0.81746,1.34401,0.008752,0.008752,0.008752
158,2688.92,0.26986,0.81715,1.24541,0.60712,0.5923,0.60839,0.35469,0.49911,0.92331,1.34766,0.008744,0.008744,0.008744
159,2705.14,0.24687,0.79461,1.21646,0.61622,0.60793,0.63146,0.37775,0.49464,0.86956,1.32622,0.008736,0.008736,0.008736
